bag_nr,category,weight
a,glass,1.8
a,metal,0.3
a,other,4.1
b,glass,0
b,metal,0
b,other,5
c,glass,0
c,metal,0.3
c,other,3.7
d,glass,0
d,metal,0.3
d,other,8.1
1,glass,1.6
1,metal,0.3
1,other,5.3999999999999995
2,glass,0
2,metal,0.4
2,other,4.699999999999999
3,glass,0.7
3,metal,0.5
3,other,2.4000000000000004
5,glass,2.7
5,metal,1.5
5,other,2.8999999999999995
14,glass,0
14,metal,0
14,other,2.9
15,glass,0
15,metal,0.4
15,other,4.1
16,glass,0
16,metal,0
16,other,1
17,glass,1
17,metal,0.6
17,other,3.1999999999999997
18,glass,0.9
18,metal,0.4
18,other,0.30000000000000004
20,glass,0
20,metal,0.1
20,other,4.4
21,glass,0.4
21,metal,0.4
21,other,1.4999999999999998
