number,identifier,location,ch_coordinates_x,ch_coordinates_y,type,comment,sub_bin_type,weight
1,Raemistrasse,Bellevueplatz,2683542,1246852,Recyclingstation,missing,paper,NA
1,Raemistrasse,Bellevueplatz,2683542,1246852,Recyclingstation,2nd cigarette stand 5 Meters to the North,pet,1.071
1,Raemistrasse,Bellevueplatz,2683542,1246852,Recyclingstation,2nd cigarette stand 5 Meters to the North,metals,1.4
2,Bellevueplatz_North,Bellevueplatz,2683577,1246849,Recyclingstation,missing,paper,NA
2,Bellevueplatz_North,Bellevueplatz,2683577,1246849,Recyclingstation,NA,pet,1.975
2,Bellevueplatz_North,Bellevueplatz,2683577,1246849,Recyclingstation,NA,metals,1.925
3,Bellevueplatz_West,Bellevueplatz,2683550,1246832,Recyclingstation,missing,paper,NA
3,Bellevueplatz_West,Bellevueplatz,2683550,1246832,Recyclingstation,NA,pet,0.963
3,Bellevueplatz_West,Bellevueplatz,2683550,1246832,Recyclingstation,NA,metals,0.98
4,Bellevueplatz_East,Bellevueplatz,2683594,1246824,Recyclingstation,missing,paper,NA
4,Bellevueplatz_East,Bellevueplatz,2683594,1246824,Recyclingstation,NA,pet,2.596
4,Bellevueplatz_East,Bellevueplatz,2683594,1246824,Recyclingstation,NA,metals,2.889
5,Theaterstrasse_West,Bellevueplatz,2683612,1246831,Recyclingstation,apparently empty,paper,NA
5,Theaterstrasse_West,Bellevueplatz,2683612,1246831,Recyclingstation,apparently empty,pet,1.304
5,Theaterstrasse_West,Bellevueplatz,2683612,1246831,Recyclingstation,apparently empty,metals,1.467
6,Bellevueplatz_South,Bellevueplatz,2683558,1246816,Recyclingstation,missing,paper,NA
6,Bellevueplatz_South,Bellevueplatz,2683558,1246816,Recyclingstation,NA,pet,0.877
6,Bellevueplatz_South,Bellevueplatz,2683558,1246816,Recyclingstation,NA,metals,1.157
7,Schoeckstrasse,nA,2683583,1246793,Recyclingstation,missing,paper,NA
7,Schoeckstrasse,nA,2683583,1246793,Recyclingstation,NA,pet,1.575
7,Schoeckstrasse,nA,2683583,1246793,Recyclingstation,NA,metals,1.531
