objid,location,bin_id,bin_id_2,day_of_collection,category,weight,type
900,eth,1015,1,2022-07-04,other,1.136,non_recyclable
900,eth,1015,1,2022-07-04,pet,0.064,recyclable
900,eth,1015,1,2022-07-04,metal_alu,0.062,recyclable
900,eth,1015,1,2022-07-04,glass,0.576,recyclable
900,eth,1015,1,2022-07-04,paper,0.214,recyclable
899,eth,1014,2,2022-07-04,other,3.037,non_recyclable
899,eth,1014,2,2022-07-04,pet,0.138,recyclable
899,eth,1014,2,2022-07-04,metal_alu,0.013,recyclable
899,eth,1014,2,2022-07-04,glass,0.178,recyclable
899,eth,1014,2,2022-07-04,paper,0.277,recyclable
921,old_town,1039,3,2022-07-04,other,1.572,non_recyclable
921,old_town,1039,3,2022-07-04,pet,0,recyclable
921,old_town,1039,3,2022-07-04,metal_alu,0,recyclable
921,old_town,1039,3,2022-07-04,glass,0,recyclable
921,old_town,1039,3,2022-07-04,paper,0.414,recyclable
916,old_town,1032,4,2022-07-04,other,0.625,non_recyclable
916,old_town,1032,4,2022-07-04,pet,0.173,recyclable
916,old_town,1032,4,2022-07-04,metal_alu,0.043,recyclable
916,old_town,1032,4,2022-07-04,glass,0.797,recyclable
916,old_town,1032,4,2022-07-04,paper,0.552,recyclable
900,eth,1015,1,2022-04-14,other,0.582,non_recyclable
900,eth,1015,1,2022-04-14,pet,0.098,recyclable
900,eth,1015,1,2022-04-14,metal_alu,0.043,recyclable
900,eth,1015,1,2022-04-14,glass,0,recyclable
900,eth,1015,1,2022-04-14,paper,0.4,recyclable
899,eth,1014,2,2022-04-14,other,0.338,non_recyclable
899,eth,1014,2,2022-04-14,pet,0.077,recyclable
899,eth,1014,2,2022-04-14,metal_alu,0.03,recyclable
899,eth,1014,2,2022-04-14,glass,0,recyclable
899,eth,1014,2,2022-04-14,paper,0.052,recyclable
921,old_town,1039,3,2022-04-14,other,1.518,non_recyclable
921,old_town,1039,3,2022-04-14,pet,0.078,recyclable
921,old_town,1039,3,2022-04-14,metal_alu,0.03,recyclable
921,old_town,1039,3,2022-04-14,glass,0.297,recyclable
921,old_town,1039,3,2022-04-14,paper,0.402,recyclable
916,old_town,1032,4,2022-04-14,other,1.986,non_recyclable
916,old_town,1032,4,2022-04-14,pet,0.109,recyclable
916,old_town,1032,4,2022-04-14,metal_alu,0.044,recyclable
916,old_town,1032,4,2022-04-14,glass,0.916,recyclable
916,old_town,1032,4,2022-04-14,paper,1.014,recyclable
