id,date_started,age,job,residence_situation,residence_type,location_bin,number_recycling,deposit,residence_distance,zurisack,price_pet,price_paper,price_glass,comment,feedback
1,2022-04-14,15-24,Student,Parents,Standalone House,No,prefer not to say,Yes,Dissatisfied,prefer not to say,0,0,0,more recycling bins,NA
2,2022-04-14,65+,Retired,Single Studio,Apartment,Yes,Good,No,Very satisfied,Satisfied,0,0,0,"GREEN RECYCLING. SHOULD BE CLEARER IT IS ONLY FOR GREEN,NOT TRASH",WHAT IS THE SURVEY FOR?
3,2022-04-14,25-64,Other,Single Studio,Townhouse,Yes,Neutral,No,Very satisfied,Very satisfied,0,0,0,Nothing to change,Nothing
4,2022-04-14,25-64,Employed,Single Studio,Standalone House,No,Excellent,Yes,Satisfied,Neither,7.5,7.5,10,more bins / signs / stations,NA
5,2022-04-14,25-64,Employed,Shared Apartment,Apartment,Yes,Neutral,Yes,Satisfied,Dissatisfied,10,10,NA,"More public, more bins, not only at the train station, deposit on bottles (pfand) also for homeless people",20 chef per month
6,2022-04-14,15-24,Student,Parents;Shared Apartment,Apartment,No,Fair,No,Neither,Satisfied,7.5,0,7.5,more glass recycling,no
7,2022-04-14,15-24,Student,Parents,Apartment,Yes,Good,Yes,Very satisfied,Dissatisfied,0,0,0,More green bins organic/bio waste,Tetrapak kann man nicht recycling
8,2022-04-14,65+,Retired,prefer not to say,Apartment,No,Neutral,Yes,Neither,Neither,0,0,0,no,he didn't understand the questions
9,2022-04-14,Under 15,Student,Parents,Apartment,No,Neutral,Yes,Satisfied,prefer not to say,10,10,10,More recycling containers,No. Lin.
10,2022-04-14,25-64,Employed,Shared Apartment,Apartment,Yes,Good,Yes,Dissatisfied,Neither,0,0,0,None,No
11,2022-04-14,15-24,Employed,Shared Apartment,Apartment,Yes,Good,Yes,Satisfied,Neither,0,0,20,None,No
12,2022-04-14,Under 15,Student,Parents,Apartment,No,Neutral,Yes,Very satisfied,prefer not to say,10,10,10,More recycling bins,No dbi
13,2022-04-14,Under 15,Student,Parents,Standalone House,No,Fair,Yes,Very dissatisfied,prefer not to say,10,0,10,No electric cars nachhaltige Energie more bins like train station,No dbi
14,2022-04-14,25-64,Employed,Family,Apartment,No,prefer not to say,No,Very satisfied,prefer not to say,0,5,0,get money for the recycling (like a deposit),no
15,2022-04-14,Under 15,Student,Parents,Apartment,Yes,Neutral,Yes,Neither,Neither,10,0,10,More recycling container that have all types of recycling like the train station,Lin
16,2022-04-14,Under 15,Student,Parents,Apartment,Yes,Neutral,Yes,Very satisfied,Very satisfied,0,10,0,More bins like the train station,Too much trash at public places and too many bottles under benches
17,2022-04-14,25-64,Employed,Shared Apartment,Townhouse,No,Poor,Yes,Very satisfied,Dissatisfied,0,0,7.5,NA,NA
18,2022-04-14,25-64,Other,Family,Other,No,Poor,No,Satisfied,Neither,0,0,0,"No, not enough knowledge",No dbi
19,2022-04-14,Under 15,Student,Parents,Apartment,Yes,Neutral,Yes,Very satisfied,Very satisfied,50,20,0,Train station type recycling container,"Too much trash on ground. Too many bottles under benches. 

Lin"
20,2022-04-14,25-64,Employed,Others,Apartment,No,Neutral,Yes,Neither,Very satisfied,10,5,10,More possibilities at your home and in the city. More bins like at train stations,No dbi
21,2022-04-14,25-64,Employed,Shared Apartment,Apartment,Yes,Good,No,Satisfied,Neither,0,15,0,No paper and carton packaging. Just get a bin,No. Lin
22,2022-04-14,25-64,Employed,Family,Apartment,No,Neutral,No,Very satisfied,Dissatisfied,0,0,5,"more recxcling bins
more paper bins
recycle tretra
things not reclyble in normal places anny",NA
